top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   1570 _chrony   20   0   10724   2756   2560 S   0,0   0,0   0:00.00 chronyd
   1597 root      20   0  251328   7296   7296 S   0,0   0,0   0:00.02 gdm3
   1641 mysql     20   0 1272728   7004   6400 S   0,0   0,0   0:01.26 mariadbd
   1664 root      20   0  238952   9476   9420 S   0,0   0,0   0:00.37 apache2
   1734 root      20   0   82452  12160  11392 S   0,0   0,0   0:00.01 cupsd
   1746 www-data  20   0  239536   5956   5376 S   0,0   0,0   0:00.01 apache2
   1747 www-data  20   0  239536   6084   5504 S   0,0   0,0   0:00.01 apache2
   1749 www-data  20   0  239536   6084   5504 S   0,0   0,0   0:00.01 apache2
   1750 www-data  20   0  239536   6084   5504 S   0,0   0,0   0:00.01 apache2
   1752 www-data  20   0  239536   6468   5760 S   0,0   0,0   0:00.01 apache2
   1851 rtkit     21   1  154036   3328   3072 S   0,0   0,0   0:00.16 rtkit-daemon
   1919 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1977 root      35  15  384988  46340  17356 S   0,0   0,1   0:15.92 packagekitd
   2079 colord    32  12  256740   9220   9024 S   0,0   0,0   0:00.11 colord
   2172 root      32  12  169684   4520   4352 S   0,0   0,0   0:00.19 system76-schedu
   2190 root      32  12 1165492   3328   3328 S   0,0   0,0   0:00.85 pop-system-upda
   2204 root      32  12  172664   9728   9472 S   0,0   0,0   0:00.03 cups-browsed
   2205 root      32  12 2726024  21832   5376 S   0,0   0,0   0:01.90 dockerd
   2277 root      20   0 1977664   5104   4384 S   0,0   0,0   0:14.96 teamviewerd
   3749 root      32  12  403656   9284   8576 S   0,0   0,0   0:00.07 gdm-session-wor
   3763 martin    20   0   18304   8320   6272 S   0,0   0,0   0:00.53 systemd
   3764 martin    20   0  172064   3072   1664 S   0,0   0,0   0:00.00 (sd-pam)
   3773 martin   -50 -15  139660  20344   8468 S   0,0   0,0   0:20.07 pipewire
   3776 martin    11  -9  345568  13568  10496 S   0,0   0,0   0:02.66 wireplumber
   3778 martin   -50 -15  184264  57252   8416 S   0,0   0,1   0:29.04 pipewire-pulse
   3780 martin    29   9    9712   3712   3584 S   0,0   0,0   0:00.01 dbus-broker-lau
   3781 martin    32  12  251092   6680   5888 S   0,0   0,0   0:00.13 gnome-keyring-d
   3784 root      35  15  479428  20340  16904 S   0,0   0,0   0:01.34 fwupd
   3785 martin    20   0    7624   3968   2304 S   0,0   0,0   0:01.61 dbus-broker
   3803 martin    26   6  172416   6016   5760 S   0,0   0,0   0:00.00 gdm-x-session
   3805 martin    17  -3 1572804  80948  46560 S   0,0   0,1   7:16.30 Xorg
   3823 martin    26   6  233056  12800  12800 S   0,0   0,0   0:00.01 gnome-session-b
   3906 martin    29   9  310064   7680   7296 S   0,0   0,0   0:00.00 at-spi-bus-laun
   3911 martin    26   6    9556   3712   3456 S   0,0   0,0   0:00.00 dbus-broker-lau
   3912 martin    20   0    5028   2432   2304 S   0,0   0,0   0:00.23 dbus-broker
   3928 martin    29   9  101744   5632   5248 S   0,0   0,0   0:00.00 gnome-session-c
   3938 martin    29   9  250916   7296   6912 S   0,0   0,0   0:00.06 gvfsd
   3944 martin    29   9  380892   5632   5632 S   0,0   0,0   0:00.00 gvfsd-fuse
   3947 martin    29   9  530712  14592  13568 S   0,0   0,0   0:00.26 gnome-session-b
   3974 martin    17  -3 5465788 166212  50436 S   0,0   0,3   6:30.88 gnome-shell
   4009 martin    29   9  246260   6272   6016 S   0,0   0,0   0:00.00 xdg-permission-
   4012 martin    26   6  732116  11904  10880 S   0,0   0,0   0:00.13 gnome-shell-cal
   4021 martin    29   9 1086824  18588  17468 S   0,0   0,0   0:00.07 evolution-sourc
   4026 martin    29   9  158040   6264   5248 S   0,0   0,0   0:00.13 dconf-service
   4030 martin    26   6  586020  31960  20184 S   0,0   0,0   0:00.83 goa-daemon
   4031 martin    29   9  547712   9472   8320 S   0,0   0,0   0:00.08 gvfs-udisks2-vo
   4034 martin    29   9  173824   7036   6140 S   0,0   0,0   0:00.37 gvfsd-metadata
   4043 martin    29   9  246568   6528   6016 S   0,0   0,0   0:00.00 gvfs-mtp-volume
   4051 martin    29   9 1149784  34032  21892 S   0,0   0,1   0:00.94 evolution-calen
   4055 martin    29   9  247392   7680   6912 S   0,0   0,0   0:00.00 gvfs-goa-volume
   4065 martin    26   6  348556  12544  11904 S   0,0   0,0   0:00.04 goa-identity-se
